"Profile_key","Age","T_stage","N_stage","M_stage","Surgery","Radiation","Risk_36m","Risk_60m","Risk_120m","Linear_predictor"
"<55|T4|N1|M1|No|Yes","<55","T4","N1","M1","No","Yes",0.754951087974303,0.89756457903768,0.98704461740502,4.86445152041901
"55-69|T4|N1|M1|No|Yes","55-69","T4","N1","M1","No","Yes",0.891397696646566,0.972594403392008,0.998952378150496,5.32102661531267
">=70|T4|N1|M1|No|Yes",">=70","T4","N1","M1","No","Yes",0.995641812597608,0.999850329242744,0.999999949401483,6.21647932440073
"<55|T1|N0|M0|Yes|Yes","<55","T1","N0","M0","Yes","Yes",0.00586461180858966,0.00948471502191151,0.0180140516218462,-0.612388296677087
"55-69|T1|N0|M0|Yes|Yes","55-69","T1","N0","M0","Yes","Yes",0.00924249379757158,0.0149319766828946,0.0282894299727194,-0.155813201783428
">=70|T1|N0|M0|Yes|Yes",">=70","T1","N0","M0","Yes","Yes",0.0224784630234071,0.0361656291710455,0.0678520177838933,0.739639507304628
"<55|T2|N0|M0|Yes|Yes","<55","T2","N0","M0","Yes","Yes",0.0087952109671755,0.01421133720982,0.0269330117380517,-0.20564291346207
"55-69|T2|N0|M0|Yes|Yes","55-69","T2","N0","M0","Yes","Yes",0.0138492536896966,0.0223424090858889,0.042185426329122,0.250932181431589
">=70|T2|N0|M0|Yes|Yes",">=70","T2","N0","M0","Yes","Yes",0.0335697208924667,0.0538219420475594,0.1001530343268,1.14638489051964
"<55|T3|N0|M0|Yes|Yes","<55","T3","N0","M0","Yes","Yes",0.0159940803663884,0.0257852641695134,0.0486090422510591,0.39600544257773
"55-69|T3|N0|M0|Yes|Yes","55-69","T3","N0","M0","Yes","Yes",0.0251320764670467,0.0404013177224262,0.0756503230580705,0.852580537471389
">=70|T3|N0|M0|Yes|Yes",">=70","T3","N0","M0","Yes","Yes",0.0604187018658592,0.0960435786071295,0.175193491189621,1.74803324655944
"<55|T4|N0|M0|Yes|Yes","<55","T4","N0","M0","Yes","Yes",0.0258318479008715,0.041517100237231,0.0776993975045713,0.880401195815345
"55-69|T4|N0|M0|Yes|Yes","55-69","T4","N0","M0","Yes","Yes",0.0404737531881897,0.0647493523920903,0.119872318796908,1.336976290709
">=70|T4|N0|M0|Yes|Yes",">=70","T4","N0","M0","Yes","Yes",0.0962106397838992,0.151173597042775,0.268485051469641,2.23242899979706
"<55|T1|N1|M0|Yes|Yes","<55","T1","N1","M0","Yes","Yes",0.0177876241912813,0.02866067260593,0.053958164719796,0.503199300982489
"55-69|T1|N1|M0|Yes|Yes","55-69","T1","N1","M0","Yes","Yes",0.0279356952375249,0.0448686818598988,0.0838413856543855,0.959774395876148
">=70|T1|N1|M0|Yes|Yes",">=70","T1","N1","M0","Yes","Yes",0.0670209617561475,0.106312708939697,0.192974393325577,1.8552271049642
"<55|T2|N1|M0|Yes|Yes","<55","T2","N1","M0","Yes","Yes",0.0265960047477845,0.042734977312218,0.0799334935710089,0.909944684197505
